m;Seccion_tub;Peso (kg/m);H (mm);B (mm);tnom (mm);tdis (mm);ri (mm);ri2 (mm);besb (mm);hesb (mm);besb/tdis;hesb/tdis;bint (mm);hint (mm);Ag (mm2);Ix (mm4);rx (mm);Sx (mm3);Iy (mm4);ry (mm);Sy (mm3);y' (mm);Zx (mm3);x' (mm);Zy (mm3);Rc (mm);Ap (mm2);p (mm);Js (mm4)
68;TUB.60X40X1.5;2.34;60;40;1.5;1.4;0.7;1.4;35.82;55.82;25.67;40.01;37.21;57.21;266.2;134946.01;22.52;4498.2;72425.12;16.49;3621.26;20.3;5404.04;15.39;4098.07;2.09;2258.69;190.83;149178.2
69;TUB.60X40X2;3.08;60;40;2;1.86;0.93;1.86;34.42;54.42;18.51;29.26;36.28;56.28;349.25;173220.44;22.27;5774.01;92600.41;16.28;4630.02;20.06;7007.17;15.19;5305.45;2.79;2210.78;187.77;193658.55
70;TUB.60X40X2.5;3.8;60;40;2.5;2.33;1.16;2.33;33.03;53.03;14.2;22.81;35.35;55.35;429.46;208311.09;22.02;6943.7;110925.93;16.07;5546.3;19.82;8513.7;14.99;6436.02;3.49;2162.47;184.71;235442.37
71;TUB.60X60X2;3.71;60;60;2;1.86;0.93;1.86;54.42;54.42;29.26;29.26;56.28;56.28;423.65;236114.72;23.61;7870.49;236114.72;23.61;7870.49;21.65;9169.98;21.65;9169.98;2.79;3373.58;227.77;371755.73
72;TUB.60X60X2.5;4.59;60;60;2.5;2.33;1.16;2.33;53.03;53.03;22.81;22.81;55.35;55.35;522.46;285691.91;23.38;9523.06;285691.91;23.38;9523.06;21.43;11195.58;21.43;11195.58;3.49;3315.97;224.71;455067.07
73;TUB.60X60X3;5.19;60;60;3;2.79;1.4;2.79;51.63;51.63;18.51;18.51;54.42;54.42;618.42;331706.59;23.16;11056.89;331706.59;23.16;11056.89;21.21;13117.43;21.21;13117.43;4.19;3257.95;221.66;534410.73
74;TUB.70X70X1.5;3.28;70;70;1.5;1.4;0.7;1.4;65.82;65.82;47.18;47.18;67.21;67.21;377.8;294374.12;27.91;8410.69;294374.12;27.91;8410.69;25.61;9675.93;25.61;9675.93;2.09;4702.89;270.83;455691.05
75;TUB.70X70X2;4.34;70;70;2;1.86;0.93;1.86;64.42;64.42;34.63;34.63;66.28;66.28;498.05;381906.99;27.69;10911.63;381906.99;27.69;10911.63;25.4;12648.64;25.4;12648.64;2.79;4636.38;267.77;597266.95
76;TUB.70X70X2.5;5.37;70;70;2.5;2.33;1.16;2.33;63.03;63.03;27.11;27.11;65.35;65.35;615.46;464359.02;27.47;13267.4;464359.02;27.47;13267.4;25.18;15497.56;25.18;15497.56;3.49;4569.47;264.71;733565.76
77;TUB.70X70X3;6.39;70;70;3;2.79;1.4;2.79;61.63;61.63;22.09;22.09;64.42;64.42;730.02;541857.25;27.24;15481.64;541857.25;27.24;15481.64;24.96;18224.18;24.96;18224.18;4.19;4502.15;261.66;864519.54
78;TUB.75X75X3;6.86;75;75;3;2.79;1.4;2.79;66.63;66.63;23.88;23.88;69.42;69.42;785.82;673986.61;29.29;17972.98;673986.61;29.29;17972.98;26.84;21091.43;26.84;21091.43;4.19;5199.25;281.66;1071094.75
79;TUB.75X75X4;9;75;75;4;3.72;1.86;3.72;63.84;63.84;17.16;17.16;67.56;67.56;1025.01;852389.9;28.84;22730.4;852389.9;28.84;22730.4;26.4;27065.34;26.4;27065.34;5.58;5054.11;275.54;1379454.88
80;TUB.75X75X6;13.04;75;75;6;5.58;2.79;5.58;58.26;58.26;10.44;10.44;63.84;63.84;1469.27;1146234.72;27.93;30566.26;1146234.72;27.93;30566.26;25.52;37500.23;25.52;37500.23;8.37;4759;263.31;1919807.31
81;TUB.76X38X1.5;2.67;76;38;1.5;1.4;0.7;1.4;33.82;71.82;24.24;51.48;35.21;73.21;305.26;231634.64;27.55;6095.65;79454.14;16.13;4181.8;24.58;7504.08;15.24;4651.68;2.09;2727.16;218.83;189649.89
82;TUB.76X38X2;3.52;76;38;2;1.86;0.93;1.86;32.42;70.42;17.43;37.86;34.28;72.28;401.33;298730.99;27.28;7861.34;101788.19;15.93;5357.27;24.33;9763.47;15.04;6035.45;2.79;2672.74;215.77;246316.99
83;TUB.76X38X2.5;4.35;76;38;2.5;2.33;1.16;2.33;31.03;69.03;13.34;29.69;33.35;71.35;494.56;360978.35;27.02;9499.43;122186.09;15.72;6430.85;24.07;11904.36;14.84;7338.32;3.49;2617.92;212.71;299640.72
84;TUB.76X38X3;4.9;76;38;3;2.79;1.4;2.79;29.63;67.63;10.62;24.24;32.42;70.42;584.94;418499.9;26.75;11013.16;140729.36;15.51;7406.81;23.81;13928.26;14.64;8561.79;4.19;2562.69;209.66;349583.37
85;TUB.80X40X1.5;2.81;80;40;1.5;1.4;0.7;1.4;35.82;75.82;25.67;54.35;37.21;77.21;322;271507.16;29.04;6787.68;93224.5;17.02;4661.23;25.92;8345.08;16.07;5175.15;2.09;3030.79;230.83;222053.43
86;TUB.80X40X2;3.71;80;40;2;1.86;0.93;1.86;34.42;74.42;18.51;40.01;36.28;76.28;423.65;350769.07;28.77;8769.23;119678.53;16.81;5983.93;25.66;10871.69;15.87;6724.26;2.79;2973.58;227.77;288825.03
87;TUB.80X40X2.5;4.59;80;40;2.5;2.33;1.16;2.33;33.03;73.03;14.2;31.41;35.35;75.35;522.46;424630.69;28.51;10615.77;143969;16.6;7198.45;25.41;13273.26;15.67;8187.9;3.49;2915.97;224.71;351900.72
88;TUB.80X40X3;5.45;80;40;3;2.79;1.4;2.79;31.63;71.63;11.34;25.67;34.42;74.42;618.42;493221.96;28.24;12330.55;166182.05;16.39;8309.1;25.15;15551.29;15.47;9567.57;4.19;2857.95;221.66;411240.22
89;TUB.90X50X1.5;3.28;90;50;1.5;1.4;0.7;1.4;45.82;85.82;32.84;61.52;47.21;87.21;377.8;418004.75;33.26;9288.99;169741.2;21.2;6789.65;29.81;11260.89;19.94;7532.96;2.09;4302.89;270.83;381470.8
90;TUB.90X50X2;4.34;90;50;2;1.86;0.93;1.86;44.42;84.42;23.88;45.39;46.28;86.28;498.05;542646.57;33.01;12058.81;219385.55;20.99;8775.42;29.56;14722.36;19.74;9830.93;2.79;4236.38;267.77;498655.04
91;TUB.90X50X2.5;5.37;90;50;2.5;2.33;1.16;2.33;43.03;83.03;18.51;35.71;45.35;85.35;615.46;660193.47;32.75;14670.97;265740.42;20.78;10629.62;29.31;18040.24;19.54;12024.88;3.49;4169.47;264.71;610757.78
92;TUB.90X50X3;6.13;90;50;3;2.79;1.4;2.79;41.63;81.63;14.92;29.26;44.42;84.42;730.02;770794.41;32.49;17128.76;308910.93;20.57;12356.44;29.06;21216.04;19.34;14116.32;4.19;4102.15;261.66;717724.82
93;TUB.90X90X2;5.59;90;90;2;1.86;0.93;1.86;84.42;84.42;45.39;45.39;86.28;86.28;646.85;831683.61;35.86;18481.86;831683.61;35.86;18481.86;32.9;21279.98;32.9;21279.98;2.79;7761.98;347.77;1288918.6
94;TUB.90X90X2.5;6.94;90;90;2.5;2.33;1.16;2.33;83.03;83.03;35.71;35.71;85.35;85.35;801.46;1017718.37;35.63;22615.96;1017718.37;35.63;22615.96;32.68;26194.02;32.68;26194.02;3.49;7676.47;344.71;1589821.41
95;TUB.90X90X3;8.01;90;90;3;2.79;1.4;2.79;81.63;81.63;29.26;29.26;84.42;84.42;953.22;1195330.78;35.41;26562.91;1195330.78;35.41;26562.91;32.47;30948.67;32.47;30948.67;4.19;7590.55;341.66;1882013.4
