Referencia;Peso(Kg/m);d(mm);bf(mm);tw(mm);tf(mm);r(mm);dint(mm);T(mm);A(cm2);Apint(m2/m); Amasa(m2/t);Ixx(cm4);Sx(cm3);Zx(cm3);rx(cm);Av(cm2);Iyy(cm4);Sy(cm3);Zy(cm3);ry(cm);Ss(cm);J(cm4);Cw(cm6)
W920x310x345;345;943;308;22.1;39.9;25;862.8;812.8;440;3.031;8.737;629660;13350;15440;37.7;224.9;19520;1267;2006;6.6;13.1;1705;39610000
W920x310x313;313;932;309;21.1;34.5;25;862.8;812.8;399;3.015;9.586;552310;11850;13720;37.1;211.9;17040;1103;1751;6.5;11.9;1206;34160000
W920x310x289;289;927;308;19.4;32;25;862.8;812.8;368;3.004;10.35;508550;10970;12660;37;194.9;15640;1016;1607;6.5;11.2;962.1;31200000
W920x310x271;271;923;307;18.4;30;25;862.8;812.8;346;2.994;10.95;475640;10300;11870;36.9;184.6;14520;946.2;1494;6.4;10.7;804.5;28840000
W920x310x253;253;919;306;17.3;27.9;25;862.8;812.8;323;2.984;11.68;441530;9609;11050;36.8;173.4;13370;874;1378;6.4;10.2;657.4;26440000
W920x310x238;238;915;305;16.5;25.9;25;862.8;812.8;303;2.974;12.39;410490;8972;10320;36.6;165;12290;805.9;1270;6.3;9.7;542.2;24200000
W920x310x223;223;911;304;15.9;23.9;25;862.8;812.8;285;2.963;13.11;380910;8362;9635;36.3;158.3;11230;738.8;1166;6.2;9.2;446.9;22010000
W920x310x201;201;903;304;15.2;20.1;25;862.8;812.8;256;2.949;14.52;329280;7293;8452;35.6;149.6;9447;621.5;985.6;6;8.4;311.3;18340000
W840x400x576;576;913;411;32;57.9;20;797.1;757.1;735;3.372;5.848;1011770;22160;25560;37.1;300.2;67220;3271;5101;9.5;17.1;6167;122460000
W840x400x527;527;903;409;29.5;53.1;20;797.1;757.1;672;3.349;6.341;915080;20260;23270;36.8;275.3;60730;2969;4621;9.5;15.9;4777;109340000
W840x400x473;473;893;406;26.4;48;20;797.1;757.1;603;3.323;7.013;813200;18210;20790;36.7;245.7;53670;2643;4100;9.4;14.5;3511;95560000
W840x400x433;433;885;404;24.4;43.9;20;797.1;757.1;552;3.303;7.613;736270;16630;18920;36.4;226.2;48350;2393;3706;9.3;13.5;2704;85320000
W840x400x392;392;877;401;22.1;39.9;20;797.1;757.1;499;3.279;8.361;659650;15040;17040;36.3;204.3;42960;2142;3310;9.2;12.5;2026;75110000
W840x400x359;359;868;403;21.1;35.6;20;797.1;757.1;457;3.271;9.088;591620;13630;15420;35.9;193.3;38900;1930;2984;9.2;11.5;1510;67260000
W840x400x329;329;862;401;19.7;32.4;20;797.1;757.1;419;3.254;9.862;535820;12430;14040;35.7;179.8;34870;1739;2687;9.1;10.7;1159;59910000
W840x400x299;299;856;400;18.2;29.2;20;797.1;757.1;381;3.241;10.8;481680;11250;12680;35.5;165.5;31190;1559;2406;9;10;866.2;53220000
W840x295x251;251;859;292;17;31;20;797.1;757.1;319;2.818;11.22;387490;9021;10320;34.8;156.5;12900;883.7;1383;6.3;10.2;745.5;22040000
W840x295x226;226;851;294;16.1;26.8;20;797.1;757.1;288;2.811;12.37;341070;8015;9188;34.3;146.8;11380;774.4;1214;6.2;9.3;522.6;19270000
W840x295x210;210;846;293;15.4;24.4;20;797.1;757.1;268;2.799;13.25;311710;7369;8455;34;139.7;10250;700.2;1098;6.1;8.7;412.7;17260000
W840x295x193;193;840;292;14.7;21.7;20;797.1;757.1;247;2.784;14.34;279440;6653;7652;33.6;132.4;9030;618.5;972.2;6;8.1;311.8;15070000
W840x295x176;176;835;292;14;18.8;20;797.1;757.1;224;2.776;15.73;247370;5925;6841;33.1;125.2;7824;535.9;844.4;5.8;7.5;226.8;12990000
W760x380x582;582;843;396;34.5;62;20;719.1;679.1;742;3.167;5.433;861550;20440;23750;34;297.6;64430;3254;5082;9.3;18.1;7219;97850000
W760x380x531;531;833;393;31.5;56.9;20;719.1;679.1;676;3.141;5.908;776640;18640;21550;33.8;270.6;57760;2939;4579;9.2;16.8;5563;86670000
W760x380x484;484;823;390;29;52.1;20;719.1;679.1;617;3.114;6.416;698760;16980;19530;33.6;247.8;51660;2649;4119;9.1;15.6;4279;76520000
W760x380x434;434;813;387;25.9;47;20;719.1;679.1;553;3.088;7.108;618840;15220;17400;33.4;220.6;45510;2352;3646;9;14.3;3127;66600000
W760x380x389;389;803;385;23.6;41.9;20;719.1;679.1;495;3.064;7.873;545190;13570;15450;33.1;199.8;39930;2074;3211;8.9;13;2247;57710000
W760x380x350;350;795;382;21.1;38.1;20;719.1;679.1;445;3.041;8.682;486880;12240;13860;33;178.3;35460;1856;2865;8.9;12;1675;50690000
W760x380x314;314;786;384;19.7;33.4;20;719.1;679.1;400;3.034;9.623;428860;10910;12320;32.6;165;31570;1644;2537;8.8;10.9;1182;44630000
W760x380x284;284;780;382;18;30.1;20;719.1;679.1;362;3.018;10.59;383750;9839;11070;32.5;150.4;28000;1466;2259;8.7;10.1;875;39310000
W760x380x257;257;772;381;16.6;27.1;20;719.1;679.1;328;3;11.61;342050;8861;9951;32.2;137.9;25010;1313;2020;8.7;9.4;651.1;34650000
W760x265x220;220;779;266;16.5;30;20;719.1;679.1;281;2.555;11.56;279390;7173;8231;31.4;139;9443;710;1114;5.7;9.9;620.5;13190000
W760x265x196;196;770;268;15.6;25.4;20;719.1;679.1;251;2.546;12.88;241470;6271;7207;30.9;129.7;8177;610.2;960.1;5.6;8.9;416.5;11290000
W760x265x185;185;766;267;14.9;23.6;20;719.1;679.1;235;2.536;13.66;224140;5852;6724;30.7;123.4;7511;562.6;885.1;5.6;8.5;343.3;10310000
W760x265x173;173;762;267;14.4;21.6;20;719.1;679.1;221;2.529;14.49;207010;5433;6251;30.5;118.6;6875;515;811.1;5.5;8.1;278.7;9390000
W760x265x161;161;758;266;13.8;19.3;20;719.1;679.1;205;2.518;15.62;187250;4940;5699;30.1;113;6074;456.7;720.9;5.4;7.5;215.1;8258000
W760x265x147;147;753;265;13.2;17;20;719.1;679.1;188;2.505;16.93;167250;4442;5143;29.7;107.3;5291;399.3;632;5.2;7;163.2;7140000
W760x265x134;134;750;264;11.9;15.5;20;719.1;679.1;170;2.498;18.63;151580;4042;4665;29.7;97.03;4767;361.1;569.1;5.2;6.6;123.7;6410000
W690x360x802;802;826;387;50;89.9;20;645.9;605.9;1022;3.066;3.82;1063170;25740;30930;32.2;407.4;87540;4524;7146;9.2;25.3;20610;117630000
W690x360x548;548;772;372;35.1;63;20;645.9;605.9;698;2.927;5.335;672930;17430;20380;31;277.4;54300;2919;4565;8.8;18.4;7065;67920000
W690x360x500;500;762;369;32;57.9;20;645.9;605.9;637;2.902;5.799;606230;15910;18490;30.8;251.9;48670;2638;4114;8.7;17.1;5459;60090000
W690x360x457;457;752;367;29.5;53.1;20;645.9;605.9;582;2.879;6.283;546550;14530;16800;30.6;230.8;43890;2392;3723;8.6;15.9;4228;53420000
W690x360x419;419;744;364;26.9;49;20;645.9;605.9;533;2.856;6.814;495390;13310;15310;30.4;209.9;39500;2170;3369;8.6;14.8;3299;47560000
W690x360x384;384;736;362;24.9;45;20;645.9;605.9;489;2.836;7.372;448880;12190;13960;30.2;193.4;35670;1970;3054;8.5;13.8;2569;42470000
W690x360x350;350;728;360;23.1;40.9;20;645.9;605.9;446;2.815;8.019;403400;11080;12630;30;178.5;31870;1771;2742;8.4;12.8;1953;37530000
W690x360x323;323;722;359;21.1;38.1;20;645.9;605.9;411;2.803;8.64;371040;10270;11660;29.9;162.9;29430;1640;2532;8.4;12;1567;34350000
W690x360x289;289;714;356;19;34;20;645.9;605.9;368;2.78;9.617;326240;9138;10320;29.7;146.2;25610;1438;2217;8.3;11;1120;29550000
W690x360x265;265;706;358;18.4;30.2;20;645.9;605.9;337;2.773;10.44;291790;8266;9333;29.3;139.8;23130;1292;1994;8.2;10.2;833.7;26360000
W690x360x240;240;701;356;16.8;27.4;20;645.9;605.9;306;2.758;11.44;262680;7494;8433;29.2;127.5;20630;1159;1786;8.1;9.5;627.2;23370000
W690x360x217;217;695;355;15.4;24.8;20;645.9;605.9;277;2.745;12.54;235790;6785;7613;29;116.5;18510;1043;1605;8.1;8.8;471.5;20760000
W690x250x192;192;702;254;15.5;27.9;20;645.9;605.9;244;2.355;12.23;199440;5682;6504;28.5;119;7645;602;943;5.5;9.4;479.7;8656000
W690x250x170;170;693;256;14.5;23.6;20;645.9;605.9;216;2.347;13.72;171440;4947;5665;28;109.9;6620;517.2;811.2;5.5;8.5;318.9;7392000
W690x250x152;152;688;254;13.1;21.1;20;645.9;605.9;194;2.331;15.21;152100;4421;5049;27.9;99.23;5779;455;712.1;5.4;7.8;231.9;6407000
W690x250x140;140;684;254;12.4;18.9;20;645.9;605.9;179;2.325;16.49;137570;4022;4596;27.6;93.46;5176;407.6;638.1;5.3;7.3;177;5708000
W690x250x125;125;678;253;11.7;16.3;20;645.9;605.9;160;2.31;18.23;119980;3539;4056;27.2;87.37;4412;348.7;547.3;5.2;6.7;125.8;4815000
W610x325x551;551;711;347;38.6;69.1;20;573;533;702;2.698;4.881;559070;15720;18650;28.1;278.8;48410;2790;4381;8.2;20;8577;49560000
W610x325x498;498;699;343;35.1;63;20;573;533;635;2.665;5.332;496220;14190;16720;27.9;251.8;42590;2483;3889;8.1;18.4;6477;42840000
W610x325x455;455;689;340;32;57.9;20;573;533;579;2.64;5.793;446080;12940;15140;27.7;228.5;38090;2241;3500;8;17.1;5004;37760000
W610x325x415;415;679;338;29.5;53.1;20;573;533;529;2.617;6.274;401320;11820;13750;27.4;209.3;34300;2030;3164;8;15.9;3876;33460000
W610x325x372;372;669;335;26.4;48;20;573;533;474;2.591;6.93;354790;10600;12240;27.2;186.5;30170;1801;2799;7.9;14.5;2850;28990000
W610x325x341;341;661;333;24.4;43.9;20;573;533;434;2.571;7.518;319840;9677;11120;27;171.5;27090;1627;2525;7.8;13.5;2195;25720000
W610x325x307;307;653;330;22.1;39.9;20;573;533;391;2.547;8.246;285230;8736;9984;26.9;154.8;23950;1452;2247;7.8;12.5;1645;22450000
W610x325x285;285;647;329;20.6;37.1;20;573;533;361;2.534;8.831;262280;8107;9230;26.7;143.9;22060;1341;2073;7.7;11.8;1328;20470000
W610x325x262;262;641;327;19;34;20;573;533;333;2.518;9.585;237550;7411;8405;26.6;132.3;19850;1214;1874;7.7;11;1027;18250000
W610x325x241;241;635;329;17.9;31;20;573;533;308;2.516;10.34;216990;6834;7726;26.4;123.9;18430;1120;1728;7.7;10.3;802.2;16780000
W610x325x217;217;628;328;16.5;27.7;20;573;533;277;2.501;11.39;192360;6126;6903;26.2;113.5;16310;995;1533;7.6;9.5;586.1;14670000
W610x325x195;195;622;327;15.4;24.4;20;573;533;248;2.487;12.61;169450;5448;6129;25.9;105.2;14240;871;1342;7.5;8.7;418.3;12690000
W610x325x174;174;616;325;14;21.6;20;573;533;222;2.47;14.05;148720;4828;5417;25.7;95.28;12370;761.6;1172;7.4;8;297.5;10910000
W610x325x155;155;611;324;12.7;19;20;573;533;197;2.458;15.71;130550;4273;4783;25.5;86.21;10780;665.7;1024;7.3;7.4;209.5;9436000
W610x230x153;153;623;229;14;24.9;20;573;533;196;2.1;13.53;126750;4069;4657;25.3;97.12;5001;436.8;684.9;5;8.7;315.8;4456000
W610x230x140;140;617;230;13.1;22.2;20;573;533;179;2.093;14.77;113580;3681;4207;25;90.23;4517;392.7;615.5;5;8;235.5;3981000
W610x230x125;125;612;229;11.9;19.6;20;573;533;159;2.082;16.44;100150;3272;3731;24.9;81.76;3935;343.6;537.7;4.9;7.4;168.2;3441000
W610x230x113;113;608;228;11.2;17.3;20;573;533;145;2.071;18;89160;2933;3347;24.6;76.51;3428;300.7;471.1;4.8;6.9;123.9;2981000
W610x230x101;101;603;228;10.5;14.9;20;573;533;130;2.063;19.98;77970;2586;2957;24.3;71.14;2952;258.9;406.4;4.7;6.3;87.85;2544000
W610x180x92;92;603;179;10.9;15;13;573;547;117;1.878;20.34;64680;2145;2514;23.4;69.44;1441;161;258.5;3.5;5.6;71.3;1239000
W610x180x82;82;599;178;10;12.8;13;573;547;105;1.868;22.8;56030;1870;2198;23.1;63.39;1208;135.8;218.2;3.4;5;49.07;1033000
W530x315x409;409;613;327;31;55.6;25;501.9;451.9;522;2.429;5.899;319240;10410;12210;24.6;205.9;32550;1990;3104;7.8;17.1;4343;25160000
W530x315x369;369;603;324;27.9;50.5;25;501.9;451.9;470;2.403;6.476;283070;9388;10920;24.4;184.7;28730;1774;2758;7.7;15.8;3246;21840000
W530x315x332;332;593;322;25.4;45.5;25;501.9;451.9;423;2.38;7.119;250100;8435;9753;24.2;167.1;25400;1577;2449;7.7;14.5;2399;18970000
W530x315x300;300;585;319;23.1;41.4;25;501.9;451.9;382;2.357;7.789;223120;7628;8767;24;151.6;22460;1408;2182;7.6;13.5;1810;16540000
W530x315x272;272;577;317;21.1;37.6;25;501.9;451.9;346;2.337;8.515;199120;6902;7889;23.8;137.9;20010;1262;1953;7.5;12.5;1367;14520000
W530x315x248;248;571;315;19;34.5;25;501.9;451.9;315;2.321;9.295;179870;6300;7159;23.7;124.5;18010;1143;1765;7.5;11.7;1052;12930000
W530x315x219;219;560;318;18.3;29.2;25;501.9;451.9;279;2.312;10.41;153410;5479;6211;23.2;117.1;15680;986.6;1526;7.4;10.5;701.9;11020000
W530x315x196;196;554;316;16.5;26.3;25;501.9;451.9;250;2.296;11.5;136360;4922;5554;23.1;105.5;13860;877.3;1354;7.3;9.8;518.4;9628000
W530x315x182;182;551;315;15.2;24.4;25;501.9;451.9;232;2.289;12.39;125920;4570;5137;23.1;97.6;12730;808.6;1246;7.3;9.3;416.4;8811000
W530x315x165;165;546;313;14;22.2;25;501.9;451.9;211;2.273;13.5;113330;4151;4651;22.9;89.79;11360;726.3;1118;7.2;8.7;319.8;7782000
W530x315x150;150;543;312;12.7;20.3;25;501.9;451.9;192;2.266;14.74;103220;3801;4243;22.9;81.89;10290;659.8;1014;7.2;8.2;247.4;7018000
W530x210x123;123;544;212;13.1;21.2;13;501.9;475.9;157;1.887;15.31;76120;2798;3209;22;75.44;3377;318.6;499.2;4.6;7;180.9;2300000
W530x210x109;109;539;211;11.6;18.8;13;501.9;475.9;139;1.876;17.2;66770;2477;2828;21.9;66.68;2951;279.7;436.6;4.6;6.4;126.8;1991000
W530x210x101;101;537;210;10.9;17.4;13;501.9;475.9;129;1.87;18.43;61740;2299;2621;21.8;62.61;2692;256.4;399.7;4.5;6;102;1812000
W530x210x92;92;533;209;10.2;15.6;13;501.9;475.9;118;1.859;20.1;55280;2074;2365;21.6;58.28;2379;227.6;354.9;4.4;5.6;76.47;1588000
W530x210x82;82;528;209;9.5;13.3;13;501.9;475.9;105;1.851;22.53;47690;1806;2063;21.3;53.8;2028;194;302.9;4.4;5.1;52.01;1340000
W530x210x72;72;524;207;9;10.9;13;501.9;475.9;91.8;1.836;25.48;40090;1530;1761;20.9;50.46;1615;156;244.7;4.1;4.6;34.01;1060000
W530x165x85;85;535;166;10.3;16.5;13;501.9;475.9;108;1.691;19.96;48580;1816;2105;21.2;59.14;1263;152.2;241.8;3.4;5.8;73.98;845400
W530x165x74;74;529;166;9.7;13.6;13;501.9;475.9;94.8;1.68;22.46;41090;1553;1810;20.7;54.98;1041;125.4;200.3;3.3;5.2;48.2;688500
W530x165x66;66;525;165;8.9;11.4;13;501.9;475.9;83.9;1.67;25.4;35100;1337;1563;20.4;50.12;857.3;103.9;166.1;3.1;4.6;32.15;562800
W460x280x464;464;567;305;38.6;69.6;20;428;388;591;2.242;4.815;291000;10260;12390;22.1;223.2;33130;2172;3404;7.4;20.1;7505;20350000
W460x280x421;421;555;302;35.6;63.5;20;428;388;537;2.212;5.225;257680;9286;11120;21.8;203.8;29320;1942;3038;7.3;18.6;5731;17600000
W460x280x384;384;545;299;32.5;58.4;20;428;388;490;2.187;5.665;230490;8458;10050;21.6;184.9;26150;1749;2730;7.2;17.2;4438;15400000
W460x280x349;349;535;296;29.5;53.6;20;428;388;444;2.161;6.159;205350;7676;9059;21.4;166.8;23270;1572;2447;7.2;16;3410;13420000
W460x280x315;315;525;293;26.9;48.5;20;428;388;401;2.134;6.749;180960;6893;8075;21.1;151;20410;1393;2165;7.1;14.7;2536;11540000
W460x280x286;286;517;291;24.4;44.4;20;428;388;364;2.115;7.355;162180;6274;7296;21;136.5;18290;1257;1949;7;13.6;1942;10180000
W460x280x260;260;509;289;22.6;40.4;20;428;388;331;2.094;7.993;144800;5689;6579;20.8;125.4;16300;1128;1747;6.9;12.6;1478;8922000
W460x280x235;235;501;287;20.6;36.6;20;428;388;299;2.074;8.759;128450;5127;5892;20.6;113.7;14450;1007;1557;6.9;11.7;1106;7774000
W460x280x213;213;495;285;18.5;33.5;20;428;388;271;2.059;9.588;115440;4664;5325;20.5;102.2;12950;909;1401;6.8;10.8;843;6881000
W460x280x193;193;489;283;17;30.5;20;428;388;247;2.042;10.45;103470;4232;4808;20.3;93.57;11540;815.9;1256;6.8;10.1;641.1;6055000
W460x280x177;177;482;286;16.6;26.9;20;428;388;226;2.04;11.38;92130;3823;4334;20;89.74;10510;735;1134;6.7;9.3;472.6;5430000
W460x280x158;158;476;284;15;23.9;20;428;388;201;2.024;12.68;80750;3393;3828;19.9;80.8;9141;643.7;992;6.7;8.6;337.2;4662000
W460x280x144;144;472;283;13.6;22.1;20;428;388;184;2.014;13.74;73720;3124;3507;19.8;73.46;8362;590.9;908.6;6.6;8.1;265.6;4224000
W460x280x128;128;467;282;12.2;19.6;20;428;388;163;2.003;15.36;64810;2776;3102;19.7;65.85;7336;520.3;798.8;6.6;7.4;189.1;3665000
W460x280x113;113;463;280;10.8;17.3;20;428;388;144;1.99;17.29;56720;2450;2726;19.6;58.48;6337;452.7;694;6.5;6.8;132.3;3143000
W460x190x106;106;469;194;12.6;20.6;10;428;408;134;1.672;15.81;48800;2081;2386;19;61.47;2514;259.2;405.3;4.3;6.5;145.5;1260000
W460x190x97;97;466;193;11.4;19;10;428;408;123;1.664;17.24;44490;1909;2179;19;55.61;2282;236.5;368.4;4.3;6.1;112.8;1137000
W460x190x89;89;463;192;10.5;17.7;10;428;408;114;1.656;18.55;40930;1768;2011;18.9;51.15;2092;217.9;338.6;4.2;5.7;90.54;1035000
W460x190x82;82;460;191;9.9;16;10;428;408;105;1.647;20.11;36980;1608;1828;18.8;48.01;1862;194.9;302.9;4.2;5.3;68.97;915700
W460x190x74;74;457;190;9;14.5;10;428;408;94.8;1.639;22.1;33240;1455;1649;18.7;43.58;1660;174.8;270.9;4.1;4.9;51.59;811400
W460x190x67;67;454;190;8.5;12.7;10;428;408;85.5;1.634;24.33;29460;1298;1473;18.5;40.9;1454;153;237.5;4.1;4.5;37.05;706800
W460x150x68;68;459;154;9.1;15.4;10;428;408;87.1;1.499;21.88;29680;1293;1487;18.4;44.3;940.5;122.1;192;3.2;5.1;50.8;461100
W460x150x60;60;455;153;8;13.3;10;428;408;76.1;1.489;25.01;25480;1120;1284;18.3;38.85;796.1;104;163;3.2;4.6;33.43;387200
W460x150x52;52;450;152;7.6;10.8;10;428;408;66.5;1.476;28.38;21200;942.2;1087;17.8;36.39;634;83.42;131.4;3;4;20.89;304800
W410x260x149;149;431;265;14.9;25;10;381;361;190;1.875;12.56;61840;2869;3246;18;66.35;7765;586;899.7;6.3;7.6;321.4;3195000
W410x260x132;132;425;263;13.3;22.2;10;381;361;169;1.858;14.07;53820;2533;2849;17.8;58.87;6739;512.4;785.3;6.3;6.9;225.4;2730000
W410x260x114;114;420;261;11.6;19.3;10;381;361;146;1.844;16.11;46130;2197;2456;17.7;51.19;5724;438.6;670.8;6.2;6.1;148.4;2295000
W410x260x100;100;415;260;10;16.9;10;381;361;127;1.833;18.41;39760;1916;2128;17.7;44.04;4954;381;581.3;6.2;5.5;99.26;1961000
W410x180x85;85;417;181;10.9;18.2;10;381;361;108;1.519;17.88;31520;1512;1724;17;47.96;1803;199.2;310;4;5.9;92.42;715100
W410x180x75;75;413;180;9.7;16;10;381;361;94.8;1.509;20.15;27480;1330;1511;16.9;42.56;1558;173.1;268.7;4;5.3;63.59;612700
W410x180x67;67;410;179;8.8;14.4;10;381;361;85.8;1.501;22.25;24540;1197;1355;16.8;38.55;1379;154;238.6;4;4.9;46.76;538500
W410x180x60;60;407;178;7.7;12.8;10;381;361;76.1;1.493;25.09;21570;1060;1194;16.8;33.77;1204;135.3;208.9;3.9;4.5;32.69;467400
W410x180x53;53;403;177;7.5;10.9;10;381;361;68.4;1.482;27.75;18600;923.1;1045;16.5;32.44;1009;114;176.6;3.8;4.1;22.48;387100
W410x140x53.3;53.3;406.6;143.3;7.9;12.9;10;388;361;67.9;1.353;25.38;18270;898.7;1030;16.4;34.54;634.5;88.56;138.9;3;4.5;28.85;245100
W410x140x46.1;46.1;403;140;7;11.2;10;381;361;58.8;1.335;28.89;15550;772.1;883.9;16.2;30.52;513.6;73.37;114.9;2.9;4.1;19.16;196500
W410x140x38.8;38.8;399;140;6.4;8.8;10;381;361;49.5;1.328;33.9;12640;633.8;729.6;15.9;27.59;403.5;57.65;90.61;2.8;3.5;11.02;153100
W360x410x1299;1299;600;476;100;140;20;320;280;1650;2.87;2.207;754950;25160;33260;21.3;519.4;254410;10680;16670;12.3;40.3;95520;133120000
W360x410x1202;1202;580;471;95;130;20;320;280;1530;2.82;2.345;663970;22890;30030;20.8;482.9;228760;9714;15150;12.2;37.8;77190;114600000
W360x410x1086;1086;569;454;78;125;20;320;280;1390;2.764;2.538;596070;20950;27230;20.7;399.7;196270;8646;13380;11.8;35.1;61220;96070000
W360x410x990;990;550;448;71.9;115;20;320;280;1260;2.714;2.735;519260;18880;24300;20.2;362.1;173380;7740;11960;11.7;32.5;47490;81520000
W360x410x900;900;531;442;65.9;106;20;320;280;1150;2.664;2.949;450550;16970;21640;19.7;325.9;153360;6939;10710;11.5;30.1;36880;68880000
W360x410x818;818;514;437;60.5;97;20;320;280;1050;2.621;3.196;392540;15270;19270;19.3;294.5;135540;6203;9566;11.3;27.7;28210;58650000
W360x410x744;744;498;432;55.6;88.9;20;320;280;948;2.578;3.459;342470;13750;17180;18.9;266.4;119940;5553;8553;11.2;25.6;21660;49980000
W360x410x677;677;483;428;51.2;81.5;20;320;280;865;2.541;3.743;299820;12410;15360;18.6;241.6;106880;4994;7684;11.1;23.7;16680;42910000
W360x410x634;634;474;424;47.6;77.1;20;320;280;806;2.514;3.956;274520;11580;14240;18.4;223.1;98260;4635;7121;11;22.5;13960;38570000
W360x410x592;592;465;421;45;72.3;20;320;280;755;2.49;4.194;250510;10770;13160;18.1;209;90180;4284;6578;10.9;21.3;11520;34660000
W360x410x551;551;455;418;42;67.6;20;320;280;703;2.464;4.466;226460;9954;12070;17.9;193.1;82500;3947;6055;10.8;20;9395;30870000
W360x410x509;509;446;416;39.1;62.7;20;320;280;652;2.443;4.785;204880;9187;11050;17.7;178.3;75410;3625;5556;10.7;18.7;7513;27630000
W360x410x463;463;435;412;35.8;57.4;20;320;280;590;2.412;5.199;180510;8299;9900;17.4;161.5;67040;3254;4981;10.6;17.4;5746;23840000
W360x410x421;421;425;409;32.8;52.6;20;320;280;537;2.386;5.643;159930;7526;8903;17.2;146.6;60080;2938;4492;10.5;16.1;4416;20790000
W360x410x382;382;416;406;29.8;48;20;320;280;488;2.362;6.159;141670;6811;7987;17;132.2;53620;2641;4033;10.4;14.9;3348;18120000
W360x410x347;347;407;404;27.2;43.7;20;320;280;442;2.341;6.725;125300;6157;7161;16.8;119.7;48090;2380;3631;10.4;13.8;2532;15840000
W360x410x314;314;399;401;24.9;39.6;20;320;280;400;2.318;7.37;110580;5543;6397;16.6;108.7;42600;2125;3239;10.3;12.7;1891;13740000
W360x410x287;287;393;399;22.6;36.6;20;320;280;366;2.302;7.974;100060;5092;5835;16.4;98.62;38780;1944;2959;10.2;11.9;1484;12300000
W360x410x262;262;387;398;21.1;33.3;20;320;280;334;2.289;8.676;89760;4638;5282;16.3;91.38;35020;1759;2678;10.2;11.1;1133;10940000
W360x410x237;237;380;395;18.9;30.2;20;320;280;301;2.268;9.554;79130;4164;4708;16.1;81.62;31040;1571;2389;10.1;10.2;841.9;9489000
W360x410x216;216;375;394;17.3;27.7;20;320;280;275;2.257;10.38;71490;3813;4285;16;74.59;28250;1434;2178;10;9.6;652.1;8514000
W360x370x196;196;372;374;16.4;26.2;20;320;280;250;2.173;10.99;63980;3440;3860;15.9;70.62;22860;1222;1858;9.5;9.2;530.9;6828000
W360x370x179;179;368;373;15;23.9;20;320;280;228;2.164;12;57790;3141;3505;15.8;64.6;20680;1109;1684;9.4;8.6;406;6119000
W360x370x162;162;364;371;13.3;21.8;20;320;280;206;2.151;13.19;51890;2851;3162;15.8;57.66;18560;1000;1518;9.4;8;306.6;5431000
W360x370x147;147;360;370;12.3;19.8;20;320;280;188;2.141;14.4;46640;2591;2861;15.6;53.19;16720;904;1371;9.3;7.5;233.3;4836000
W360x370x134;134;356;369;11.2;18;20;320;280;171;2.131;15.77;41860;2352;2585;15.5;48.48;15080;817.3;1238;9.3;7;177.3;4305000
W360x250x122;122;363;257;13;21.7;15;320;290;155;1.702;13.99;36530;2012;2265;15.3;52.81;6147;478.3;732;6.2;7.3;210.6;1787000
W360x250x110;110;360;256;11.4;19.9;15;320;290;141;1.695;15.39;33090;1838;2055;15.3;46.67;5570;435.1;664.2;6.3;6.8;160.2;1609000
W360x250x101;101;357;255;10.5;18.3;15;320;290;129;1.687;16.67;30140;1688;1880;15.2;42.98;5061;397;605.4;6.2;6.4;125.3;1450000
W360x250x91;91;353;254;9.5;16.4;15;320;290;115;1.677;18.47;26690;1512;1675;15.1;38.82;4482;352.9;537.8;6.2;5.9;91.36;1268000
W360x200x79;79;354;205;9.4;16.8;15;320;290;101;1.483;18.72;22640;1279;1432;14.9;38.66;2415;235.6;361.6;4.8;6;81.14;685700
W360x200x72;72;350;204;8.6;15.1;15;320;290;91;1.473;20.61;20100;1148;1281;14.8;35.26;2139;209.7;321.5;4.8;5.6;60.09;599000
W360x200x64;64;347;203;7.7;13.5;15;320;290;81.3;1.465;22.93;17820;1027;1141;14.7;31.66;1884;185.6;284.2;4.8;5.2;43.64;523300
W360x170x58;58;358;172;7.9;13.1;10;332;312;72.3;1.371;24.21;16040;896.2;1008;14.9;30.72;1112;129.3;199.4;3.9;4.5;33.32;330300
W360x170x51;51;355;171;7.2;11.6;10;332;312;64.5;1.362;26.93;14120;795.5;893.3;14.8;27.9;968;113.2;174.3;3.8;4.2;23.71;284900
W360x170x44.6;44.6;352;171;6.9;9.8;10;332;312;57.1;1.357;30.16;12150;690.7;778.1;14.5;26.43;817.9;95.66;147.7;3.7;3.8;15.92;239000
W360x130x39.0;39;353;128;6.5;10.7;10;332;312;49.6;1.188;30.39;10230;579.6;661.5;14.3;25.24;375;58.59;91.62;2.7;3.9;15.01;109500
W360x130x32.9;32.9;349;127;5.8;8.5;10;332;312;41.9;1.177;35.95;8258;473.2;541.4;14;22.3;290.9;45.82;71.78;2.6;3.4;8.531;84110
W310x310x500;500;427;340;45.1;75.1;20;277.1;237.1;637;2.089;4.165;169080;7919;9895;16.2;192.1;49430;2907;4490;8.7;21.8;10280;15230000
W310x310x454;454;415;336;41.3;68.7;20;277.1;237.1;578;2.057;4.52;148200;7142;8835;15.9;173.9;43610;2596;4004;8.6;20.2;7857;13020000
W310x310x415;415;403;334;38.9;62.7;20;277.1;237.1;528;2.03;4.877;130180;6460;7922;15.6;160.8;39090;2340;3610;8.5;18.7;6066;11270000
W310x310x375;375;391;330;35.4;57.2;20;277.1;237.1;478;1.997;5.312;113040;5782;7023;15.3;144.4;34370;2083;3208;8.4;17.3;4583;9543000
