Referencia;Peso(Kg/m);d(mm);bf(mm);tw(mm);tf(mm);r(mm);dint(mm);T(mm);A(cm2);Apint(m2/m); Amasa(m2/t);Ixx(cm4);Sx(cm3);Zx(cm3);rx(cm);Av(cm2);Iyy(cm4);Sy(cm3);Zy(cm3);ry(cm);Ss(cm);J(cm4);Cw(cm6)
UC356x406x677;677;483;428;51.2;81.5;20;320;280;863.4;2.541;3.743;299820;12410;15360;18.6;241.6;106880;4994;7684;11.1;23.7;16680;42910000
UC356x406x634;634;474.6;424;47.6;77;20;320;280;807.5;2.516;3.962;275190;11590;14250;18.4;223.4;98130;4629;7112;11;22.5;13910;38660000
UC356x406x592;592;465;421;45;72.3;20;320;280;754.9;2.49;4.194;250510;10770;13160;18.1;209;90180;4284;6578;10.9;21.3;11520;34660000
UC356x406x551;551;455.6;418.5;42.1;67.5;20;320;280;701.9;2.467;4.468;227280;9977;12090;17.9;193.8;82680;3951;6061;10.8;20;9381;31050000
UC356x406x509;509;446;416;39.1;62.7;20;320;280;649;2.443;4.785;204880;9187;11050;17.7;178.3;75410;3625;5556;10.7;18.7;7513;27630000
UC356x406x467;467;436.6;412.2;35.8;58;20;320;280;594.9;2.416;5.161;183340;8398;10020;17.5;162.1;67840;3291;5037;10.6;17.5;5904;24260000
UC356x406x463;463;435;412;35.8;57.4;20;320;280;589.5;2.412;5.199;180510;8299;9900;17.4;161.5;67040;3254;4981;10.6;17.4;5746;23840000
UC356x406x421;421;425;409;32.8;52.6;20;320;280;537.1;2.386;5.643;159930;7526;8903;17.2;146.6;60080;2938;4492;10.5;16.1;4416;20790000
UC356x406x393;393;419;407;30.6;49.2;20;320;280;500.6;2.37;6.014;146960;7014;8244;17.1;136.2;55370;2721;4156;10.5;15.2;3610;18900000
UC356x406x382;382;416;406;29.8;48;20;320;280;487.1;2.362;6.159;141670;6811;7987;17;132.2;53620;2641;4033;10.4;14.9;3348;18120000
UC356x406x347;347;407;404;27.2;43.7;20;320;280;442;2.341;6.725;125300;6157;7161;16.8;119.7;48090;2380;3631;10.4;13.8;2532;15840000
UC356x406x340;340;406.4;403;26.6;42.9;20;320;280;433;2.337;6.852;122880;6047;7021;16.8;117.2;46850;2325;3546;10.3;13.5;2390;15450000
UC356x406x314;314;399;401;24.9;39.6;20;320;280;399.2;2.318;7.37;110580;5543;6397;16.6;108.7;42600;2125;3239;10.3;12.7;1891;13740000
UC356x406x287;287;393.6;399;22.6;36.5;20;320;280;365.7;2.304;7.994;100220;5092;5834;16.5;98.73;38680;1938;2951;10.2;11.9;1474;12310000
UC356x406x262;262;387;398;21.1;33.3;20;320;280;334.6;2.289;8.676;89760;4638;5282;16.3;91.38;35020;1759;2678;10.2;11.1;1133;10940000
UC356x406x237;237;380;395;18.9;30.2;20;320;280;300.9;2.268;9.554;79130;4164;4708;16.1;81.62;31040;1571;2389;10.1;10.2;841.9;9489000
UC356x406x235;235;381;394.8;18.4;30.2;20;320;280;299;2.27;9.611;79430;4169;4708;16.2;80.06;30990;1570;2385;10.1;10.2;833.8;9528000
UC356x406x216;216;375;394;17.3;27.7;20;320;280;275.5;2.257;10.38;71490;3813;4285;16;74.59;28250;1434;2178;10;9.6;652.1;8514000
UC356x368x202;202;374.6;374.7;16.5;27;20;320;280;257.2;2.181;10.74;66600;3556;3994;16;71.58;23690;1264;1921;9.5;9.3;575.5;7150000
UC356x368x196;196;372;374;16.4;26.2;20;320;280;250.3;2.173;10.99;63980;3440;3860;15.9;70.62;22860;1222;1858;9.5;9.2;530.9;6828000
UC356x368x179;179;368;373;15;23.9;20;320;280;228.3;2.164;12;57790;3141;3505;15.8;64.6;20680;1109;1684;9.4;8.6;406;6119000
UC356x368x177;177;368.2;372.6;14.4;23.8;20;320;280;225.5;2.164;12.15;57460;3121;3477;15.9;62.54;20530;1102;1672;9.5;8.5;395.5;6084000
UC356x368x162;162;364;371;13.3;21.8;20;320;280;206.3;2.151;13.19;51890;2851;3162;15.8;57.66;18560;1000;1518;9.4;8;306.6;5431000
UC356x368x153;153;362;370.5;12.3;20.7;20;320;280;194.8;2.147;13.94;48930;2703;2987;15.7;53.69;17550;947.6;1436;9.4;7.7;261.4;5109000
UC356x368x147;147;360;370;12.3;19.8;20;320;280;187.9;2.141;14.4;46640;2591;2861;15.6;53.19;16720;904;1371;9.3;7.5;233.3;4836000
UC356x368x134;134;356;369;11.2;18;20;320;280;170.6;2.131;15.77;41860;2352;2585;15.5;48.48;15080;817.3;1238;9.3;7;177.3;4305000
UC356x368x129;129;355.6;368.6;10.4;17.5;20;320;280;164.3;2.13;16.37;40590;2282;2501;15.6;45.59;14610;792.9;1200;9.3;6.8;160.9;4174000
UC305x305x500;500;427;340;45.1;75.1;20;277.1;237.1;639;2.089;4.165;169080;7919;9895;16.2;192.1;49430;2907;4490;8.7;21.8;10280;15230000
